epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
91,110234,0.40748,0.37143,0.23785,0.83193,0,0.99131,0.99306,0.99407,0.81598,0.97349,0.97569,0.96864,0.79104,0.37394,0.23253,0.19383,0.83829,0,0.000155761,0.000155761,0.000155761
92,111431,0.37566,0.33253,0.20834,0.8129,0,0.98693,0.99306,0.99379,0.81977,0.96941,0.97569,0.96627,0.7664,0.35673,0.23689,0.18852,0.83782,0,0.000141614,0.000141614,0.000141614
93,112627,0.37492,0.3348,0.20836,0.82579,0,0.9888,0.99306,0.99369,0.81945,0.96345,0.96875,0.95871,0.77398,0.35125,0.23961,0.17356,0.83659,0,0.000127467,0.000127467,0.000127467
94,113823,0.3716,0.32176,0.20477,0.80968,0,0.98911,0.99306,0.99112,0.82567,0.96098,0.96528,0.95368,0.77654,0.3478,0.22719,0.17465,0.83488,0,0.00011332,0.00011332,0.00011332
95,115022,0.36616,0.31923,0.20044,0.81514,0,0.98933,0.99306,0.99386,0.821,0.95738,0.96181,0.95355,0.77066,0.35047,0.22355,0.1695,0.83611,0,9.91726e-05,9.91726e-05,9.91726e-05
96,116220,0.36985,0.31676,0.198,0.81168,0,0.99047,0.99048,0.99388,0.81875,0.95864,0.95931,0.95388,0.77156,0.34948,0.22876,0.16984,0.83509,0,8.50255e-05,8.50255e-05,8.50255e-05
97,117418,0.36193,0.33567,0.19609,0.81298,0,0.99031,0.99087,0.99394,0.82296,0.96555,0.96697,0.96142,0.77952,0.35515,0.21082,0.17211,0.83482,0,7.08784e-05,7.08784e-05,7.08784e-05
98,118616,0.35554,0.33768,0.19322,0.81267,0,0.99087,0.98958,0.99373,0.82604,0.96231,0.96181,0.95815,0.7733,0.35346,0.20959,0.17193,0.83507,0,5.67313e-05,5.67313e-05,5.67313e-05
99,119814,0.3588,0.31661,0.19303,0.81436,0,0.99415,0.992,0.99375,0.82835,0.97277,0.97138,0.96328,0.77387,0.35337,0.21449,0.17157,0.83545,0,4.25842e-05,4.25842e-05,4.25842e-05
100,121012,0.35416,0.32808,0.19572,0.80509,0,0.99017,0.99147,0.99392,0.82497,0.96195,0.96382,0.9595,0.77712,0.34566,0.2162,0.1655,0.83448,0,2.84371e-05,2.84371e-05,2.84371e-05
